Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Contingent - No Show","Single Family Residence","3337 Pierce St","$3,995,000","Chestnut","4","2","0","2,435","$1,640","1924","","","","2","94123","0","$3,995,000","","$1,640"
"Sold Off MLS","Single Family Residence","2264 Beach St","$3,500,000","Baker Street","3","2","1","2,520","$1,388","1927","02/26/2026","$3,500,000","","0","94123","0","$3,500,000","02/26/2026","$1,388"
"Closed","Single Family Residence","172 Cervantes Blvd","$5,250,000","Avila Street","4","3","1","2,600","$2,019","1926","03/09/2026","$5,250,000","","2","94123","0","$5,100,000","03/02/2026","$2,019"
"Sold Off MLS","Single Family Residence","45 Capra Way","$9,600,000","Pierce St.","4","5","1","5,602","$1,713","1925","02/13/2026","$9,600,000","","0","94115","0","$9,600,000","02/12/2026","$1,713"
"Closed","Single Family Residence","2457 Bay St","$6,200,000","Lyon","5","3","2","5,080","$1,220","1937","02/11/2026","$6,200,000","","0","94123","0","$5,995,000","02/02/2026","$1,220"
"Closed","Single Family Residence","3343 Pierce St","$5,150,000","Alhambra","4","3","1","3,549","$1,451","1924","02/06/2026","$5,150,000","","2","94123","0","$4,795,000","01/20/2026","$1,451"
"Canceled","Single Family Residence","245 Alhambra St","$4,750,000","Avila","4","3","1","2,895","$1,640","1924","","","","0","94123","0","$4,750,000","","$1,640"
"Closed","Single Family Residence","135 Avila St","$4,350,000","Alhambra","3","2","1","2,606","$1,669","1925","11/24/2025","$4,350,000","","0","94123","0","$4,300,000","11/04/2025","$1,669"
"Active","Single Family Residence","3340 Baker St","$7,300,000","North Point St","5","4","1","3,630","$2,011","1927","","","","0","94123","0","$7,600,000","","$2,011"
"Closed","Single Family Residence","25 Retiro Way","$3,375,000","Beach Street","4","3","0","2,565","$1,315","1936","11/12/2025","$3,375,000","","0","94123","0","$3,485,000","10/22/2025","$1,315"
"Closed","Single Family Residence","2266 Bay St","$8,300,000","Broderick St","4","5","1","4,845","$1,713","1968","09/23/2025","$8,300,000","","0","94123","0","$8,200,000","09/18/2025","$1,713"
"Closed","Single Family Residence","2270 Beach St","$4,900,000","Baker St","3","3","1","2,870","$1,707","1927","09/12/2025","$4,900,000","","1","94123","0","$3,995,000","09/05/2025","$1,707"
"Closed","Single Family Residence","12 Rico Way","$3,544,000","Retiro","3","3","0","2,600","$1,363","1925","10/09/2025","$3,544,000","","0","94123","0","$3,875,000","09/29/2025","$1,363"
"Closed","Single Family Residence","3720 Webster St","$3,650,000","Beach","3","2","2","2,850","$1,280","1933","09/09/2025","$3,650,000","","0","94123","0","$2,995,000","08/25/2025","$1,280"
"Closed","Single Family Residence","2161 North Point St","$4,230,000","Divisadero","3","4","0","3,015","$1,402","1926","10/23/2025","$4,230,000","","2","94123","0","$4,250,000","09/22/2025","$1,402"
"Sold Off MLS","Single Family Residence","3520 Baker Street","$6,875,000","","4","4","0","3,051","$2,253","1928","05/09/2025","$6,875,000","","0","94123","0","","05/09/2025","$2,253"
"Canceled","Single Family Residence","245 Alhambra St","$4,995,000","Avila","4","3","1","2,895","$1,725","1924","","","","0","94123","0","$4,995,000","","$1,725"
"Sold Off MLS","Single Family Residence","2652 Chestnut St","$8,800,000","Lyon","5","5","1","5,114","$1,720","2014","03/25/2025","$8,800,000","","0","94123","0","$0","03/18/2025","$1,720"
"Sold Off MLS","Single Family Residence","33 Retiro Way","$3,000,000","Rico Way","3","2","0","2,250","$1,333","0","04/17/2025","$3,000,000","","0","94123","0","$2,799,000","04/17/2025","$1,333"
"Withdrawn/Canceled","Single Family Residence","3551 Scott Street","$8,995,000","","5","5","1","5,084","$1,769","1925","","","","2","94123","0","","","$1,769"
"Closed","Single Family Residence","278 Avila St","$2,625,000","Beach","4","3","0","2,637","$995","1926","04/18/2025","$2,625,000","","1","94123","0","$2,495,000","03/31/2025","$995"
"Closed","Single Family Residence","212 Avila St","$4,300,000","Capra way","3","3","0","2,666","$1,612","1925","04/02/2025","$4,300,000","","2","94123","0","$3,695,000","03/20/2025","$1,612"
"Closed","Single Family Residence","1632 North Point St","$3,060,000","Buchanan","4","2","1","2,355","$1,299","0","08/29/2025","$3,060,000","","0","94123","0","$3,495,000","08/18/2025","$1,299"
"Closed","Single Family Residence","1755 Beach St","$3,475,000","Fillmore","4","3","0","2,752","$1,262","1930","04/15/2025","$3,475,000","","0","94123","0","$3,600,000","03/24/2025","$1,262"
